PORT_NAME;COUNTRY;LATITUDE;LONGITUDE
KANDA;JP;33,783333;131,016667
OITA KO;JP;33,25;131,666667
SAGANOSEKI KO;JP;33,25;131,866667
TSUKUMI KO;JP;33,083333;131,866667
SAIKI KO;JP;32,966667;131,933333
HOSOSHIMA KO;JP;32,433333;131,666667
KAGOSHIMA KO;JP;31,583333;130,566667
SHIBUSHI WAN;JP;31,466667;131,1
KIIRE;JP;31,383333;130,55
MINAMATA KO;JP;32,2;130,383333
YATSUSHIRO KO;JP;32,5;130,533333
MISUMI KO;JP;32,6;130,466667
MIIKE KO;JP;33;130,416667
NAGASAKI;JP;32,716667;129,85
SASEBO;JP;33,166667;129,716667
IMARI;JP;33,283333;129,883333
KARATSU;JP;33,483333;129,966667
HAKATA;JP;33,6;130,4
IZUHARA;JP;34,2;129,3
KIN WAN;JP;26,416667;127,9
NAHA KO;JP;26,216667;127,683333
HIRARA KO;JP;24,8;125,283333
ISHIGAKI;JP;24,333333;124,166667
OKHOTSK IY REYD;RU;59,366667;143,2
WAKAMATSU KO;JP;33,9;130,816667
HAGI KO;JP;34,416667;131,4
HAMADA KO;JP;34,9;132,083333
SAKAI KO;JP;35,55;133,25
MIYAZU;JP;35,533333;135,2
MAIZURU KO;JP;35,516667;135,333333
KANAZAWA;JP;36,616667;136,6
NANAO KO;JP;37,05;136,983333
NIIGATA KO;JP;37,916667;139,05
RYOTU KO;JP;38,083333;138,566667
SAKATA KO;JP;38,933333;139,816667
AKITA-FUNAKAWA KO;JP;39,833333;140
HANNAN KO;JP;34,466667;135,35
TAKAMATSU;JP;34,35;134,05
KOMATSUSHIMA;JP;34,016667;134,6
TACHIBANA;JP;33,866667;134,666667
KOCHI KO;JP;33,5;133,566667
SUSAKI KO;JP;33,383333;133,3
UWAJIMA KO;JP;33,216667;132,566667
YAWATAHAMA;JP;33,45;132,416667
MATSUYAMA;JP;33,85;132,7
KIKUMA KO;JP;34,033333;132,833333
MUTUREZIMA KO;JP;33,966667;130,866667
IMABARI KO;JP;34,066667;133,016667
NIIHAMA;JP;33,983333;133,283333
MISHIMA-KAWANOE KO;JP;34;133,55
MARUGAME KO;JP;34,3;133,783333
UBE KO;JP;33,933333;131,233333
URAGA KO;JP;35,233333;139,716667
TAGONOURA KO;JP;35,133333;138,7
SHIMODA KO;JP;34,666667;138,95
OMAEZAKI KO;JP;34,6;138,233333
SHIMIZU KO;JP;35,016667;138,5
KINUURA KO;JP;34,85;136,95
GAMAGORI KO;JP;34,816667;137,216667
NAGOYA KO;JP;35,066667;136,866667
YOKKAICHI;JP;34,966667;136,633333
MATSUSAKA;JP;34,6;136,566667
TOBA;JP;34,483333;136,85
OWASE KO;JP;34,066667;136,216667
TANABE KO;JP;33,716667;135,366667
WAKAYAMA-SHIMOTSU KO;JP;34,2;135,133333
SAKAI-SENBOKU;JP;34,55;135,433333
AMAGASAKI;JP;34,7;135,383333
KOBE;JP;34,65;135,183333
HIMEJI;JP;34,75;134,633333
AIOI;JP;34,783333;134,466667
KAKOGAWA;JP;34,7;134,833333
UNO KO;JP;34,483333;133,95
HIBI KO;JP;34,45;133,933333
MIZUSHIMA KO;JP;34,5;133,75
ONOMICHI-ITOZAKI;JP;34,383333;133,166667
KURE;JP;34,233333;132,55
KANOKAWA KO;JP;34,183333;132,433333
IWAKUNI KO;JP;34,183333;132,25
KUDAMATSU;JP;34;131,866667
TOKUYAMA;JP;34,033333;131,816667
YOKOSUKA KO;JP;35,283333;139,666667
ALEKSANDROVSK -SAKHALINSKIY;RU;50,9;142,133333
LAZAREV;RU;52,216667;141,516667
MOSKAL VO;RU;53,583333;142,5
SHAKOTAN;RU;43,866667;146,833333
MOMBETSU KO;JP;44,35;143,35
ABASHIRI KO;JP;44,016667;144,283333
NEMURO KO;JP;43,333333;145,583333
HANASAKI KO;JP;43,283333;145,583333
KUSHIRO KO;JP;42,983333;144,366667
TOMAKOMAI KO;JP;42,633333;141,633333
MURORAN KO;JP;42,35;140,966667
MORI;JP;42,116667;140,583333
HAKODATE KO;JP;41,783333;140,716667
ESASI KO;JP;41,866667;140,116667
OTARU KO;JP;43,2;141,016667
RUMOI KO;JP;43,95;141,633333
WAKKANAI;JP;43,416667;141,683333
AOMORI KO;JP;40,833333;140,75
HACHINOHE KO;JP;40,533333;141,55
MIYAKO;JP;39,633333;141,983333
KAMAISHI KO;JP;39,266667;141,9
OFUNATO;JP;39,05;141,733333
KESENNUMA KO;JP;38,866667;141,6
ONAGAWA;JP;38,45;141,45
ISHINOMAKI KO;JP;38,4;141,316667
SENDAI-SHIOGAMA;JP;38,316667;141,033333
ONAHAMA KO;JP;36,933333;140,9
HITACHI;JP;36,5;140,633333
KASHIMA KO;JP;35,933333;140,7
CHOSHI;JP;35,733333;140,85
TATEYAMA KO;JP;35;139,8
KISARAZU KO;JP;35,366667;139,883333
CHIBA KO;JP;35,583333;140,066667
KATSUNAN KO;JP;35,666667;139,983333
KAWASAKI KO;JP;35,5;139,766667
YOKOHAMA KO;JP;35,45;139,583333
MYS ROGATYY OKTYABRSKIY;RU;50,733333;142,1
POHANG;KR;36,05;129,383333
MUKHO;KR;37,566667;129,116667
SOKCH'O HANG;KR;38,2;128,6
WONSAN;KP;39,166667;127,45
HUNGNAM;KP;39,833333;127,616667
CH'AHO;KP;40,2;128,65
CH'ONGJIN;KP;41,766667;129,816667
POS'YET;RU;42,65;130,8
VLADIVOSTOK;RU;43,116667;131,9
BUKHTA GAYDAMAK;RU;42,866667;132,683333
NAKHODKA;RU;42,8;132,883333
SOVETSKAYA GAVAN;RU;48,966667;140,283333
BUKHTA VANINO;RU;49,083333;140,283333
DE KASTRI;RU;51,466667;140,783333
NIKOLAYEVSK NA AMUR;RU;53,133333;140,733333
OKHA;RU;53,55;143
PORONAYSK;RU;49,216667;143,133333
KORSAKOV;RU;46,616667;142,766667
NEVELSK;RU;46,666667;141,866667
KHOLMSK;RU;47,05;142,05
UGLEGORSK;RU;49,083333;142,033333
LESOGORSK;RU;49,45;142,133333
MASAN;KR;35,183333;128,566667
PUSAN;KR;35,1;129,033333
ULSAN;KR;35,45;129,4
WENZHOU;CN;28,016667;120,65
